id,name_x,popularity,explicit,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_min,release_date1,genres
35iwgR4jXetI318WEWsa1Q,Carve,6,0,Uli,0.64,0.44,0,-13.34,1,0.45,0.67,0.74,0.15,0.13,104.85,3,2.12,2/22/1922,['unknown']
021ht4sdgPcrDgSk7JTbKY,Capítulo 2.16 - Banquero Anarquista,0,0,Fernando Pessoa,0.7,0.26,0,-22.14,1,0.96,0.8,0,0.15,0.66,102.01,1,1.64,6/1/1922,['unknown']
07A5yehtSnoedViJAZkNnc,Vivo Para Quererte - Remasterizado,0,0,Ignacio Corsini,0.43,0.18,1,-21.18,1,0.05,0.99,0.02,0.21,0.46,130.42,5,3.03,3/21/1922,"['tango', 'vintage tango']"
08FmqUhxtyLTn6pAh6bk45,El Prisionero - Remasterizado,0,0,Ignacio Corsini,0.32,0.09,7,-27.96,1,0.05,1,0.92,0.1,0.4,169.98,3,2.95,3/21/1922,"['tango', 'vintage tango']"
08y9GfoqCWfOGsKdwojr5e,Lady Of The Evening,0,0,Dick Haymes,0.4,0.16,3,-16.9,0,0.04,0.99,0.13,0.31,0.2,103.22,4,2.72,1/1/1922,"['adult standards', 'big band', 'easy listening', 'lounge', 'swing']"
0BRXJHRNGQ3W4v9frnSfhu,Ave Maria,0,0,Dick Haymes,0.23,0.26,5,-12.34,1,0.04,0.99,0.25,0.1,0.05,118.89,4,2.98,1/1/1922,"['adult standards', 'big band', 'easy listening', 'lounge', 'swing']"
0Dd9ImXtAtGwsmsAD69KZT,La Butte Rouge,0,0,Francis Marty,0.51,0.36,4,-12.83,1,0.12,0.96,0,0.16,0.73,85.75,5,2.24,1/1/1922,['unknown']
0IA0Hju8CAgYfV1hwhidBH,La Java,0,0,Mistinguett,0.56,0.18,4,-13.76,1,0.05,0.99,0,0.32,0.65,133.09,3,2.69,1/1/1922,['vintage chanson']
0IgI1UCz84pYeVetnl1lGP,Old Fashioned Girl,0,0,Greg Fieler,0.49,0.48,0,-16.22,0,0.04,0.62,0.01,0.11,0.54,139.95,4,5.17,1/1/1922,['unknown']
0JV4iqw2lSKJaHBQZ0e5zK,Martín Fierro - Remasterizado,0,0,Ignacio Corsini,0.55,0.04,6,-23.23,1,0.15,1,0.93,0.15,0.61,75.6,3,3.02,3/29/1922,"['tango', 'vintage tango']"
0OYGe21oScKJfanLyM7daU,Capítulo 2.8 - Banquero Anarquista,0,0,Fernando Pessoa,0.68,0.24,11,-22.45,0,0.96,0.79,0,0.21,0.72,96.78,3,1.65,6/1/1922,['unknown']
0PE42H6tslQuyMMiGRiqtb,Capítulo 2.25 - Banquero Anarquista,0,0,Fernando Pessoa,0.75,0.23,2,-22.08,1,0.96,0.58,0,0.31,0.53,102.63,3,2.21,6/1/1922,['unknown']
0PH9AACae1f957JAavhOl2,Lazy Boi,0,0,Uli,0.3,0.46,1,-18.64,1,0.45,0.52,0.86,0.44,0.4,87.92,4,2.62,2/22/1922,['unknown']
0QiT0Oo5QdLXdFw6RDOj7h,Tu Verras Montmartre,1,0,Lucien Boyer,0.7,0.28,0,-15.39,1,0.17,1,0,0.16,0.9,127.53,4,3.11,1/1/1922,['unknown']
0TWsNj5iSvbMTtbEDP7A4V,Elle Prend L'Boulevard Magenta,0,0,Félix Mayol,0.71,0.29,2,-14.98,1,0.18,0.97,0,0.12,0.84,107.52,4,2.87,1/1/1922,['vintage chanson']
0cC9CYjLRIzwchQ42xVnq6,Capítulo 1.23 - Banquero Anarquista,0,0,Fernando Pessoa,0.69,0.2,4,-24.26,0,0.96,0.75,0,0.2,0.48,78.45,1,1.61,6/1/1922,['unknown']
0eb1PfHxT6HnXvvdUOzmME,Capítulo 1.18 - Banquero Anarquista,0,0,Fernando Pessoa,0.8,0.17,8,-24.38,1,0.95,0.67,0,0.12,0.69,59.61,3,1.72,6/1/1922,['unknown']
0grXU6GKVNCVMJbseA0Uhe,Capítulo 1.10 - Banquero Anarquista,0,0,Fernando Pessoa,0.7,0.21,2,-23.87,1,0.96,0.69,0,0.44,0.61,85.74,1,1.6,6/1/1922,['unknown']
0kCB1bDVBC8gWCFcnJyIZc,Ca C'Est Une Chose,0,0,Victor Boucher,0.35,0.33,5,-13.04,1,0.06,1,0.01,0.36,0.41,76.4,4,3.13,1/1/1922,['unknown']
0l3BQsVJ7F76wlN5QhJzaP,El Vendaval - Remasterizado,0,0,Ignacio Corsini,0.37,0.37,2,-17.14,1,0.09,0.98,0,0.93,0.75,159.67,4,2.56,3/21/1922,"['tango', 'vintage tango']"
0pXUGQcBxfoQXg2e7G9Wwk,Ta Bouche,0,0,Jeanne Saint Bonnet,0.34,0.3,7,-14.06,1,0.05,1,0.08,0.1,0.22,76.58,3,3.02,1/1/1922,['unknown']
0wA4YFw7ZNnpasfjVgJxpv,Capítulo 1.22 - Banquero Anarquista,0,0,Fernando Pessoa,0.7,0.24,0,-25.35,1,0.96,0.73,0,0.17,0.64,84.49,3,1.82,6/1/1922,['unknown']
0xJCJ9XSNcdTIz0QKmhtEn,La Maleva - Remasterizado,0,0,Ignacio Corsini,0.34,0.1,8,-26.94,1,0.05,0.99,0.97,0.12,0.22,86.28,3,3.02,3/29/1922,"['tango', 'vintage tango']"
0zyKYuXwmo8eR3BBxoxVEO,Capítulo 2.3 - Banquero Anarquista,0,0,Fernando Pessoa,0.66,0.21,0,-23.34,1,0.96,0.66,0,0.28,0.76,76.09,1,1.89,6/1/1922,['unknown']
10XXG7gG75jIREUaModzOY,Capítulo 1.2 - Banquero Anarquista,0,0,Fernando Pessoa,0.67,0.24,5,-22.55,1,0.96,0.54,0,0.63,0.64,83.53,4,1.82,6/1/1922,['unknown']
10u9ZWsOnhEyqFJCC2rQVy,J'Ai Vendu Mon Âme,0,0,Adolphe Bérard,0.58,0.15,10,-13.74,1,0.09,0.97,0,0.31,0.55,95.78,3,2.8,1/1/1922,['unknown']
112adU33vo4C1eRZct2hWy,Nuits De Chine,4,0,Louis Lynel,0.42,0.29,7,-14,1,0.07,0.99,0,0.2,0.4,139.57,3,3.01,1/1/1922,['vintage chanson']
15BEv0mKGqHHxyDAcLJ7ei,En La Huella Del Querer - Remasterizado,0,0,Ignacio Corsini,0.37,0.18,4,-22.04,0,0.07,0.99,0.87,0.16,0.38,106.6,1,2.5,3/29/1922,"['tango', 'vintage tango']"
1CZkVPFUK7wO1sMOlBHxJr,C'Est La Mode Et Voila Tout,0,0,Perchicot,0.59,0.41,10,-11.58,0,0.27,0.99,0,0.41,0.77,81.13,4,3.01,1/1/1922,['vintage chanson']
1EFtYew3kxq3gP55juunCR,Chapter 1.6 - Szkolne Przygody Pimpusia Sadełko,0,0,Maria Konopnicka,0.75,0.29,9,-19.05,1,0.95,0.65,0,0.13,0.33,90.28,3,2.5,1/6/1922,['unknown']
1FnTOwM5cW5N9wzCWziLKC,La Ronde De Nuit,0,0,Perchicot,0.55,0.31,10,-15.42,0,0.17,0.99,0,0.2,0.57,125.83,4,2.96,1/1/1922,['vintage chanson']
1HJRj2XztAhgO7dLBw6b7s,El Patotero Sentimental - Remasterizado,0,0,Ignacio Corsini,0.48,0.03,0,-23.41,0,0.07,1,0.77,0.1,0.33,77.64,4,2.43,3/29/1922,"['tango', 'vintage tango']"
1HXdv1z9RlvrcUernyf0MY,The Dear Little Shamrock,0,0,Dick Haymes,0.35,0.2,10,-15.65,1,0.05,0.99,0,0.2,0.25,109.34,3,3.19,1/1/1922,"['adult standards', 'big band', 'easy listening', 'lounge', 'swing']"
1KLKkACG16o5crQPiaF1Tz,Tus Suspiros - Remasterizado,0,0,Ignacio Corsini,0.27,0.32,6,-18.6,1,0.07,0.97,0.16,0.78,0.41,74.54,3,2.8,3/29/1922,"['tango', 'vintage tango']"
1KgBLlvPR6BxDyBNDtCUP0,Ojos Funestos - Remasterizado,0,0,Ignacio Corsini,0.37,0.24,8,-22.71,1,0.05,0.99,0.05,0.21,0.62,115.51,4,3.24,3/21/1922,"['tango', 'vintage tango']"
1KxCqUwjiAHw7W0IIrRUwP,Capítulo 2.20 - Banquero Anarquista,0,0,Fernando Pessoa,0.72,0.2,5,-22.81,1,0.97,0.7,0,0.29,0.68,81.64,4,1.66,6/1/1922,['unknown']
1MD0Obbza9l0t0Zpgcwagy,And Mimi,0,0,"Dick Haymes, Gordon Jenkins, His Orchestra",0.28,0.22,9,-15.73,0,0.05,0.98,0.08,0.34,0.23,77.23,3,3.1,1/1/1922,['unknown']
1O9iZyzufN1fUdVO97mmm5,How High The Moon,0,0,"Dick Haymes, Harry James, His Orchestra",0.33,0.31,0,-11.57,1,0.05,0.99,0.28,0.21,0.26,117.22,4,2.92,1/1/1922,['unknown']
1PGLk4jyXA8oWTBtMyYlwX,El Huerfano - Remasterizado,0,0,Ignacio Corsini,0.46,0.12,4,-20.94,0,0.08,1,0.88,0.08,0.41,122.9,4,2.85,3/21/1922,"['tango', 'vintage tango']"
1QDTYyfndMN9SDtRKDv9XO,Pas Pour Moi,0,0,Maurice Chevalier,0.53,0.38,7,-13.32,1,0.3,1,0,0.28,0.51,80.38,4,3.41,1/1/1922,"['cabaret', 'vintage hollywood']"
1V5PoYJVCYMHPWAZHxk6IA,Capítulo 1.16 - Banquero Anarquista,0,0,Fernando Pessoa,0.72,0.24,0,-23.29,1,0.95,0.68,0,0.32,0.56,119.53,4,1.76,6/1/1922,['unknown']
1VuFIir7DL0mc6bppGMa3r,La Canción Del Cabaret - Remasterizado,0,0,Ignacio Corsini,0.46,0.18,8,-18.75,1,0.06,0.99,0.82,0.41,0.29,69.13,5,2.36,3/29/1922,"['tango', 'vintage tango']"
1ZYRk4U7EuJwdRZNHpEBIz,Éléonore,0,0,Dréan,0.52,0.26,11,-12.62,0,0.13,0.99,0,0.23,0.57,69.12,4,2.74,1/1/1922,['unknown']
1b8HZQCqcqwbzlA1jRTp6E,En Douce,0,0,Mistinguett,0.43,0.18,10,-15.38,1,0.07,0.99,0,0.13,0.43,78.46,3,3.72,1/1/1922,['vintage chanson']
1g7vO6aQ6NI5EcjzYs3RGf,Capítulo 1.13 - Banquero Anarquista,0,0,Fernando Pessoa,0.72,0.13,0,-23.64,1,0.95,0.82,0,0.18,0.63,118.16,5,1.63,6/1/1922,['unknown']
1kXWSsJkBVZ1jSoI8NnEDm,Marta,0,0,Dick Haymes,0.26,0.34,0,-9.37,1,0.03,0.99,0.02,0.33,0.31,101.1,4,2.96,1/1/1922,"['adult standards', 'big band', 'easy listening', 'lounge', 'swing']"
1l1Wk0nOkuMCzioN6l2yfJ,Carol Of The Bells,0,0,Grandcubby Trio,0.38,0.75,10,-11.6,1,0.07,0.12,0.75,0.72,0.35,149.79,3,4.77,1/1/1922,['unknown']
1lia44teZBfbv0PnPkc5dK,Machinalement,0,0,Victor Boucher,0.46,0.19,4,-16.82,1,0.07,1,0.35,0.08,0.67,177.1,4,2.42,1/1/1922,['unknown']
1pGBOfY0PvpArBZT7GaUVK,Capítulo 2.19 - Banquero Anarquista,0,0,Fernando Pessoa,0.73,0.21,10,-22.14,1,0.96,0.77,0,0.56,0.73,110.86,5,1.77,6/1/1922,['unknown']
1qQeEBayDNySHIiYmvQge0,Capítulo 2.12 - Banquero Anarquista,0,0,Fernando Pessoa,0.74,0.21,5,-22.05,1,0.96,0.62,0,0.53,0.72,93.52,1,1.69,6/1/1922,['unknown']
1tKqAvRoP2RQfxftl4hVJT,Capítulo 2.21 - Banquero Anarquista,0,0,Fernando Pessoa,0.68,0.26,5,-19.93,1,0.96,0.56,0,0.11,0.64,98.14,4,2.38,6/1/1922,['unknown']
1v0HtSUeQOu3ba28pvYE5y,Chicago (That Toddlin' Town),0,0,Jim Chapman,0.49,0.44,4,-11.36,0,0.1,0.63,0,0.32,0.79,180.65,4,1.85,1/1/1922,['unknown']
213QIyv1KZIeGg7oXAMbah,Mi Guitarra - Remasterizado,0,0,Ignacio Corsini,0.24,0.12,1,-22.97,1,0.05,1,0.98,0.15,0.41,71.52,3,2.83,3/29/1922,"['tango', 'vintage tango']"
21yni4TcBS35MlxLjzV51t,Practicante - Remasterizado,0,0,Ignacio Corsini,0.43,0.17,7,-19.56,1,0.06,1,0.93,0.25,0.44,58.86,4,2.31,3/29/1922,"['tango', 'vintage tango']"
2AmBgj8nNVeN2diZh91jLh,Chapter 1.5 - Szkolne Przygody Pimpusia Sadełko,0,0,Maria Konopnicka,0.71,0.21,1,-18.88,1,0.96,0.63,0,0.12,0.31,46.97,4,2.6,1/6/1922,['unknown']
2B9d7LBGJvQEKiLEAexCOP,Toda Alma - Remasterizado,0,0,Ignacio Corsini,0.55,0.27,1,-23.03,1,0.19,1,0.92,0.11,0.65,126.61,4,3,3/21/1922,"['tango', 'vintage tango']"
2BVWvGSdgUZtC2La5P3Jtv,L'Amour Au Clair De Lune,0,0,Adolphe Bérard,0.47,0.33,7,-13.23,1,0.04,0.99,0,0.07,0.7,87.13,4,2.62,1/1/1922,['unknown']
2Be2FRskn33cqPyeSdTqFd,No Me Olvides - Remasterizado,0,0,Ignacio Corsini,0.48,0.06,8,-25.33,0,0.06,1,0.28,0.2,0.64,99.56,4,2.58,3/21/1922,"['tango', 'vintage tango']"
2EapOmGwqUQrmHCP4LrsZi,Capítulo 2.7 - Banquero Anarquista,0,0,Fernando Pessoa,0.67,0.24,5,-20.98,1,0.96,0.81,0,0.23,0.54,96.59,1,1.6,6/1/1922,['unknown']
2IMcezGQzHgqH8gIvXJM3Q,Till The End Of Time,0,0,Dick Haymes,0.21,0.23,8,-15.43,1,0.04,0.99,0.66,0.23,0.21,85.29,3,3.04,1/1/1922,"['adult standards', 'big band', 'easy listening', 'lounge', 'swing']"
2MHbLEapczIltPOYYEzQtE,Como Una Flor - Remasterizado,0,0,Ignacio Corsini,0.22,0.39,10,-19.49,0,0.04,0.98,0.3,0.5,0.75,82.29,4,2.52,3/21/1922,"['tango', 'vintage tango']"
2PF5orWaMQK4N1DwZJ20J8,Capítulo 1.12 - Banquero Anarquista,0,0,Fernando Pessoa,0.75,0.17,5,-25.23,1,0.95,0.68,0,0.13,0.59,95.6,4,1.6,6/1/1922,['unknown']
2SiNuAZ6jIU9xhClRKXcST,Sketch,0,0,Uli,0.63,0,5,-29.97,0,0.04,0.93,0.92,0.1,0.4,79.9,4,1.45,2/22/1922,['unknown']
2UU5t5j325ofKGcg7oUQNh,Sin Amor - Remasterizado,0,0,Ignacio Corsini,0.54,0.42,5,-18.42,1,0.27,0.99,0.04,0.86,0.66,68.57,4,2.18,3/21/1922,"['tango', 'vintage tango']"
2bKTO2M7es2IGg7qYqlvM7,Capítulo 1.8 - Banquero Anarquista,0,0,Fernando Pessoa,0.72,0.2,1,-23.65,1,0.94,0.58,0,0.17,0.56,107.77,5,1.69,6/1/1922,['unknown']
2cK20o1IdLmUIC4NoPWzOt,Flor Marchita - Remasterizado,0,0,Ignacio Corsini,0.36,0.1,0,-24.17,0,0.06,0.99,0.73,0.11,0.34,76.3,3,2.55,3/29/1922,"['tango', 'vintage tango']"
2dr1Ywu6gEnLrO1JS4raFb,Chapter 1.7 - Szkolne Przygody Pimpusia Sadełko,0,0,Maria Konopnicka,0.64,0.21,5,-18.6,0,0.95,0.64,0,0.11,0.33,84.92,4,2.94,1/6/1922,['unknown']
2lC5U846P7bQQPPHzOQpDh,Capítulo 2.13 - Banquero Anarquista,0,0,Fernando Pessoa,0.72,0.22,0,-22.45,1,0.94,0.6,0,0.43,0.56,116.44,3,1.6,6/1/1922,['unknown']
2mvSGvt6EjOO5HzUSz54mP,Chapter 1.1 - Szkolne Przygody Pimpusia Sadełko,0,0,Maria Konopnicka,0.66,0.21,0,-19.49,1,0.96,0.74,0,0.12,0.27,86.24,4,2.97,1/6/1922,['unknown']
2u7t2vcrLxKp69Um0MDEs2,Capítulo 1.14 - Banquero Anarquista,0,0,Fernando Pessoa,0.72,0.2,8,-23.7,1,0.94,0.64,0,0.23,0.59,118.9,3,1.94,6/1/1922,['unknown']
2vOhKgXKFpej7mv3mOwoF4,Capítulo 1.21 - Banquero Anarquista,0,0,Fernando Pessoa,0.62,0.19,10,-24.69,1,0.96,0.83,0,0.42,0.58,76.54,3,1.7,6/1/1922,['unknown']
2vSAIArCi0f9b9Ll612hFK,Capítulo 2.4 - Banquero Anarquista,0,0,Fernando Pessoa,0.73,0.18,0,-21.81,1,0.97,0.62,0,0.44,0.77,76.71,1,1.63,6/1/1922,['unknown']
2wWS5DZYc50AzbiXC57vGt,Capítulo 2.14 - Banquero Anarquista,0,0,Fernando Pessoa,0.83,0.26,5,-21.9,1,0.96,0.66,0,0.32,0.73,41.69,3,1.59,6/1/1922,['unknown']
38u3k7zUGTp48G1oA3ky3R,The Girl That I Marry,0,0,Dick Haymes,0.18,0.15,7,-17.82,1,0.04,0.98,0.8,0.15,0.14,88.94,3,3.05,1/1/1922,"['adult standards', 'big band', 'easy listening', 'lounge', 'swing']"
3FBXaR512ufrrickKCasRN,Capítulo 1.7 - Banquero Anarquista,0,0,Fernando Pessoa,0.74,0.24,10,-22.25,1,0.96,0.67,0,0.25,0.62,85.08,4,1.77,6/1/1922,['unknown']
3FfL0WRdyrEFPlPvmqj2lJ,Capítulo 1.9 - Banquero Anarquista,0,0,Fernando Pessoa,0.62,0.17,0,-23.13,1,0.97,0.73,0,0.14,0.65,181.48,4,1.78,6/1/1922,['unknown']
3QkuxlHi5RXa2YBr6S52n3,Capítulo 2.9 - Banquero Anarquista,0,0,Fernando Pessoa,0.77,0.23,7,-21.68,0,0.96,0.59,0,0.3,0.59,64.43,4,1.66,6/1/1922,['unknown']
3ROtnqCtqrMbaDkivZyV5n,Entrerriana - Remasterizado,0,0,Ignacio Corsini,0.43,0.2,5,-23.56,0,0.03,1,0.82,0.14,0.54,108.65,3,3.06,3/21/1922,"['tango', 'vintage tango']"
3XxlglpLYkpZIfU1c1C5e4,Pobre Cotorro - Remasterizado,0,0,Ignacio Corsini,0.56,0.05,6,-25.04,0,0.13,1,0.93,0.12,0.41,140.22,4,2.66,3/21/1922,"['tango', 'vintage tango']"
3aynsWyvRwa1r5ekqaWxD3,Mirage,0,0,Adolphe Bérard,0.5,0.22,4,-13.55,1,0.03,0.99,0,0.31,0.56,88.41,4,2.93,1/1/1922,['unknown']
3c8AbdpLH4SSbTHsN71XDN,Un Placer - Remasterizado,0,0,Ignacio Corsini,0.53,0.14,8,-20.7,0,0.06,1,0.91,0.11,0.9,126.7,4,2.96,3/21/1922,"['tango', 'vintage tango']"
3d8zXYhG3sFx4uL9vv8IRu,Le Tango Neurasthénique,0,0,Georgius,0.56,0.43,2,-14.62,0,0.36,0.98,0,0.23,0.6,72,4,3.12,1/1/1922,['vintage chanson']
3f9p4JTCiipdjDtKGZHqP4,Capítulo 2.17 - Banquero Anarquista,0,0,Fernando Pessoa,0.7,0.19,7,-21.82,1,0.96,0.75,0,0.29,0.6,138.49,3,1.65,6/1/1922,['unknown']
3fKqEoaJZODF7Xhh7qH4Wv,Capítulo 2.10 - Banquero Anarquista,0,0,Fernando Pessoa,0.7,0.2,7,-23,1,0.96,0.64,0,0.36,0.77,81.15,4,1.78,6/1/1922,['unknown']
3h8ioTTWfrC25hrHwQQpLc,All Or Nothing At All,0,0,"Dick Haymes, Harry James, His Orchestra",0.24,0.56,2,-6.61,0,0.04,0.81,0,0.37,0.29,92.21,3,2.74,1/1/1922,['unknown']
3hkX4bDXEzd4w6aTiDkvrR,Keepsakes,0,0,Dick Haymes,0.18,0.36,0,-9.71,0,0.05,0.99,0.34,0.1,0.11,83.03,4,3.01,1/1/1922,"['adult standards', 'big band', 'easy listening', 'lounge', 'swing']"
